,algos,subcl
0,CAML_87B144,5.0
1,CAML_87B144,4.0
2,CAML_87B144,7.0
3,CAML_87B144,1.0
4,CAML_87B144,5.0
5,CAML_87B144,4.0
6,CAML_87B144,5.0
7,CAML_87B144,5.0
8,CAML_87B144,1.0
9,CAML_87B144,4.0
10,CAML_87B144,4.0
11,CAML_87B144,4.0
12,CAML_87B144,5.0
13,CAML_87B144,5.0
14,CAML_87B144,6.0
15,CAML_87B144,4.0
16,CAML_87B144,8.0
17,CAML_87B144,8.0
18,CAML_87B144,2.0
19,CAML_87B144,7.0
20,CAML_87B144,4.0
21,CAML_87B144,4.0
22,CAML_87B144,5.0
23,CAML_87B144,6.0
24,CAML_87B144,9.0
25,CAML_87B144,9.0
26,CAML_87B144,6.0
27,CAML_87B144,9.0
28,CAML_87B144,5.0
29,CAML_87B144,4.0
30,CAML_87B144,6.0
31,CAML_87B144,10.0
32,CAML_87B144,1.0
33,CAML_87B144,6.0
34,CAML_87B144,5.0
35,CAML_87B144,7.0
36,CAML_87B144,1.0
37,CAML_87B144,2.0
38,CAML_87B144,6.0
39,CAML_87B144,1.0
40,CAML_87B144,4.0
41,CAML_87B144,5.0
42,CAML_87B144,5.0
43,CAML_87B144,5.0
44,CAML_07VEJJ,9.0
45,CAML_07VEJJ,8.0
46,CAML_07VEJJ,5.0
47,CAML_07VEJJ,5.0
48,CAML_07VEJJ,10.0
49,CAML_07VEJJ,9.0
50,CAML_07VEJJ,7.0
51,CAML_07VEJJ,10.0
52,CAML_07VEJJ,8.0
53,CAML_07VEJJ,7.0
54,CAML_07VEJJ,7.0
55,CAML_07VEJJ,9.0
56,CAML_07VEJJ,13.0
57,CAML_07VEJJ,7.0
58,CAML_07VEJJ,8.0
59,CAML_07VEJJ,6.0
60,CAML_07VEJJ,7.0
61,CAML_07VEJJ,6.0
62,CAML_07VEJJ,8.0
63,CAML_07VEJJ,7.0
64,CAML_07VEJJ,8.0
65,CAML_07VEJJ,6.0
66,CAML_07VEJJ,8.0
67,CAML_07VEJJ,5.0
68,CAML_07VEJJ,11.0
69,CAML_07VEJJ,9.0
70,CAML_07VEJJ,7.0
71,CAML_07VEJJ,13.0
72,CAML_07VEJJ,7.0
73,CAML_07VEJJ,5.0
74,CAML_07VEJJ,8.0
75,CAML_07VEJJ,3.0
76,CAML_07VEJJ,6.0
77,CAML_07VEJJ,9.0
78,CAML_07VEJJ,6.0
79,CAML_07VEJJ,7.0
80,CAML_07VEJJ,5.0
81,CAML_07VEJJ,8.0
82,CAML_07VEJJ,7.0
83,CAML_07VEJJ,7.0
84,CAML_07VEJJ,11.0
85,CAML_07VEJJ,8.0
86,CAML_07VEJJ,12.0
87,CAML_07VEJJ,7.0
88,FINDER_1D_loop,4.0
89,FINDER_1D_loop,4.0
90,FINDER_1D_loop,4.0
91,FINDER_1D_loop,4.0
92,FINDER_1D_loop,4.0
93,FINDER_1D_loop,4.0
94,FINDER_1D_loop,5.0
95,FINDER_1D_loop,4.0
96,FINDER_1D_loop,4.0
97,FINDER_1D_loop,4.0
98,FINDER_1D_loop,4.0
99,FINDER_1D_loop,3.0
100,FINDER_1D_loop,4.0
101,FINDER_1D_loop,6.0
102,FINDER_1D_loop,3.0
103,FINDER_1D_loop,5.0
104,FINDER_1D_loop,3.0
105,FINDER_1D_loop,1.0
106,FINDER_1D_loop,3.0
107,FINDER_1D_loop,1.0
108,FINDER_1D_loop,3.0
109,FINDER_1D_loop,4.0
110,FINDER_1D_loop,2.0
111,FINDER_1D_loop,4.0
112,FINDER_1D_loop,3.0
113,FINDER_1D_loop,1.0
114,FINDER_1D_loop,4.0
115,FINDER_1D_loop,3.0
116,FINDER_1D_loop,4.0
117,FINDER_1D_loop,5.0
118,FINDER_1D_loop,4.0
119,FINDER_1D_loop,3.0
120,FINDER_1D_loop,4.0
121,FINDER_1D_loop,4.0
122,FINDER_1D_loop,4.0
123,FINDER_1D_loop,3.0
124,FINDER_1D_loop,5.0
125,FINDER_1D_loop,2.0
126,FINDER_1D_loop,1.0
127,FINDER_1D_loop,4.0
128,FINDER_1D_loop,4.0
129,FINDER_1D_loop,4.0
130,FINDER_1D_loop,3.0
131,FINDER_1D_loop,3.0
